Route-Key,Predecessor-Curvature,Predecessor-Elevation,Predecessor-SpeedLimit,Predecessor-LaneNum,Junction-Curvature,Junction-ConnectedRoad,Successor-Curvature,Successor-Elevation,Successor-SpeedLimit,Successor-LaneNum,NumberOfLanes
022281,STRAIGHT,FLAT,NORMAL,010,RIGHT_CURVATURE,010,RIGHT_CURVATURE,FLAT,NORMAL,001,1
822442,RIGHT_CURVATURE,FLAT,NORMAL,010,RIGHT_CURVATURE,100,LEFT_CURVATURE,FLAT,NORMAL,010,1
290310,STRAIGHT,UPHILL,HIGH,001,STRAIGHT,011,STRAIGHT,DOWNHILL,NORMAL,000,2
021402,STRAIGHT,FLAT,NORMAL,010,LEFT_CURVATURE,100,STRAIGHT,FLAT,NORMAL,010,24
10020a,STRAIGHT,DOWNHILL,NORMAL,000,STRAIGHT,010,STRAIGHT,FLAT,HIGH,010,2
022482,STRAIGHT,FLAT,NORMAL,010,RIGHT_CURVATURE,100,RIGHT_CURVATURE,FLAT,NORMAL,010,2
422442,LEFT_CURVATURE,FLAT,NORMAL,010,RIGHT_CURVATURE,100,LEFT_CURVATURE,FLAT,NORMAL,010,1
020310,STRAIGHT,FLAT,NORMAL,010,STRAIGHT,011,STRAIGHT,DOWNHILL,NORMAL,000,2
020402,STRAIGHT,FLAT,NORMAL,010,STRAIGHT,100,STRAIGHT,FLAT,NORMAL,010,24
100329,STRAIGHT,DOWNHILL,NORMAL,000,STRAIGHT,011,STRAIGHT,UPHILL,HIGH,001,2
100320,STRAIGHT,DOWNHILL,NORMAL,000,STRAIGHT,011,STRAIGHT,UPHILL,NORMAL,000,8
100319,STRAIGHT,DOWNHILL,NORMAL,000,STRAIGHT,011,STRAIGHT,DOWNHILL,HIGH,001,2
100310,STRAIGHT,DOWNHILL,NORMAL,000,STRAIGHT,011,STRAIGHT,DOWNHILL,NORMAL,000,44
812302,RIGHT_CURVATURE,FLAT,NORMAL,001,RIGHT_CURVATURE,011,STRAIGHT,FLAT,NORMAL,010,1
021302,STRAIGHT,FLAT,NORMAL,010,LEFT_CURVATURE,011,STRAIGHT,FLAT,NORMAL,010,6
820482,RIGHT_CURVATURE,FLAT,NORMAL,010,STRAIGHT,100,RIGHT_CURVATURE,FLAT,NORMAL,010,1
823402,RIGHT_CURVATURE,FLAT,NORMAL,010,COMPLEX_CURVATURE,100,STRAIGHT,FLAT,NORMAL,010,1
022382,STRAIGHT,FLAT,NORMAL,010,RIGHT_CURVATURE,011,RIGHT_CURVATURE,FLAT,NORMAL,010,2
020442,STRAIGHT,FLAT,NORMAL,010,STRAIGHT,100,LEFT_CURVATURE,FLAT,NORMAL,010,3
422310,LEFT_CURVATURE,FLAT,NORMAL,010,RIGHT_CURVATURE,011,STRAIGHT,DOWNHILL,NORMAL,000,1
