Route-Key,Predecessor-Curvature,Predecessor-Elevation,Predecessor-SpeedLimit,Predecessor-LaneNum,Junction-Curvature,Junction-ConnectedRoad,Successor-Curvature,Successor-Elevation,Successor-SpeedLimit,Successor-LaneNum,NumberOfLanes
041344,STRAIGHT,FLAT,NORMAL,100,LEFT_CURVATURE,011,LEFT_CURVATURE,FLAT,NORMAL,100,6
040404,STRAIGHT,FLAT,NORMAL,100,STRAIGHT,100,STRAIGHT,FLAT,NORMAL,100,8
842304,RIGHT_CURVATURE,FLAT,NORMAL,100,RIGHT_CURVATURE,011,STRAIGHT,FLAT,NORMAL,100,6
041404,STRAIGHT,FLAT,NORMAL,100,LEFT_CURVATURE,100,STRAIGHT,FLAT,NORMAL,100,6
840384,RIGHT_CURVATURE,FLAT,NORMAL,100,STRAIGHT,011,RIGHT_CURVATURE,FLAT,NORMAL,100,3
040344,STRAIGHT,FLAT,NORMAL,100,STRAIGHT,011,LEFT_CURVATURE,FLAT,NORMAL,100,2
021302,STRAIGHT,FLAT,NORMAL,010,LEFT_CURVATURE,011,STRAIGHT,FLAT,NORMAL,010,2
040304,STRAIGHT,FLAT,NORMAL,100,STRAIGHT,011,STRAIGHT,FLAT,NORMAL,100,8
022384,STRAIGHT,FLAT,NORMAL,010,RIGHT_CURVATURE,011,RIGHT_CURVATURE,FLAT,NORMAL,100,1
020302,STRAIGHT,FLAT,NORMAL,010,STRAIGHT,011,STRAIGHT,FLAT,NORMAL,010,2
041304,STRAIGHT,FLAT,NORMAL,100,LEFT_CURVATURE,011,STRAIGHT,FLAT,NORMAL,100,2
042384,STRAIGHT,FLAT,NORMAL,100,RIGHT_CURVATURE,011,RIGHT_CURVATURE,FLAT,NORMAL,100,6
042302,STRAIGHT,FLAT,NORMAL,100,RIGHT_CURVATURE,011,STRAIGHT,FLAT,NORMAL,010,3
042304,STRAIGHT,FLAT,NORMAL,100,RIGHT_CURVATURE,011,STRAIGHT,FLAT,NORMAL,100,2
441344,LEFT_CURVATURE,FLAT,NORMAL,100,LEFT_CURVATURE,011,LEFT_CURVATURE,FLAT,NORMAL,100,2
022302,STRAIGHT,FLAT,NORMAL,010,RIGHT_CURVATURE,011,STRAIGHT,FLAT,NORMAL,010,2
040384,STRAIGHT,FLAT,NORMAL,100,STRAIGHT,011,RIGHT_CURVATURE,FLAT,NORMAL,100,2
440344,LEFT_CURVATURE,FLAT,NORMAL,100,STRAIGHT,011,LEFT_CURVATURE,FLAT,NORMAL,100,4
022304,STRAIGHT,FLAT,NORMAL,010,RIGHT_CURVATURE,011,STRAIGHT,FLAT,NORMAL,100,2
042404,STRAIGHT,FLAT,NORMAL,100,RIGHT_CURVATURE,100,STRAIGHT,FLAT,NORMAL,100,4
840304,RIGHT_CURVATURE,FLAT,NORMAL,100,STRAIGHT,011,STRAIGHT,FLAT,NORMAL,100,2
440304,LEFT_CURVATURE,FLAT,NORMAL,100,STRAIGHT,011,STRAIGHT,FLAT,NORMAL,100,2
441304,LEFT_CURVATURE,FLAT,NORMAL,100,LEFT_CURVATURE,011,STRAIGHT,FLAT,NORMAL,100,3
842384,RIGHT_CURVATURE,FLAT,NORMAL,100,RIGHT_CURVATURE,011,RIGHT_CURVATURE,FLAT,NORMAL,100,2
